0.59,0.63,0.51,0.45,0.01
0.56,0.6,0.52,0.48,0.01
0.56,0.54,0.54,0.51,0.01
0.56,0.5,0.57,0.51,0.01
0.57,0.53,0.58,0.51,0.01
0.56,0.45,0.58,0.51,0.01
0.56,0.46,0.58,0.51,0.01
0.56,0.43,0.58,0.51,0.01
0.56,0.44,0.59,0.5,0.01
0.53,0.43,0.58,0.5,0.01
0.54,0.44,0.57,0.5,0.01
0.51,0.42,0.57,0.5,0.01
0.53,0.48,0.54,0.47,0.01
0.51,0.49,0.55,0.47,0.01
0.78,0.49,0.54,0.46,0.01
0.83,0.65,0.58,0.49,0.01
0.83,0.66,0.56,0.5,0.01
0.84,0.68,0.56,0.5,0.01
0.84,0.67,0.57,0.5,0
0.84,0.67,0.56,0.5,0.01
0.84,0.67,0.55,0.5,0.01
0.84,0.7,0.56,0.48,0.01
0.83,0.68,0.55,0.48,0.01
0.84,0.7,0.56,0.48,0.01
0.84,0.71,0.55,0.48,0.01
0.85,0.72,0.56,0.48,0
0.84,0.72,0.55,0.48,0
0.85,0.73,0.56,0.48,0.01
0.85,0.73,0.57,0.5,0.01
0.85,0.73,0.56,0.5,0.01
0.85,0.73,0.57,0.49,0.01
0.84,0.72,0.55,0.47,0.01
0.85,0.73,0.57,0.48,0
0.84,0.74,0.57,0.48,0.01
0.85,0.74,0.57,0.48,0
0.85,0.75,0.57,0.48,0
0.85,0.74,0.58,0.48,0
0.85,0.73,0.56,0.47,0.01
0.84,0.73,0.56,0.47,0.01
0.84,0.73,0.58,0.46,0
0.84,0.73,0.56,0.46,0.01
0.84,0.73,0.56,0.45,0.01
0.84,0.73,0.56,0.45,0
0.84,0.73,0.56,0.45,0
0.84,0.73,0.56,0.45,0.01
0.84,0.73,0.56,0.45,0.01
0.84,0.74,0.55,0.46,0.01
0.85,0.74,0.58,0.46,0
0.85,0.74,0.58,0.47,0.01
0.85,0.75,0.58,0.46,0.01
0.85,0.74,0.56,0.46,0
0.84,0.74,0.59,0.45,0
0.85,0.74,0.58,0.45,0.01
0.85,0.75,0.56,0.45,0
0.84,0.74,0.57,0.45,0
0.85,0.74,0.56,0.45,0.01
0.85,0.75,0.57,0.45,0.01
0.85,0.75,0.57,0.45,0
0.84,0.75,0.6,0.45,0
0.84,0.75,0.6,0.45,0
0.84,0.74,0.57,0.45,0.01
0.84,0.75,0.56,0.45,0
0.85,0.75,0.57,0.45,0
0.85,0.75,0.58,0.46,0
0.85,0.75,0.59,0.46,0
0.85,0.75,0.58,0.46,0
0.85,0.75,0.57,0.46,0
0.85,0.75,0.56,0.46,0.01
0.85,0.75,0.56,0.46,0
0.85,0.75,0.57,0.46,0
0.85,0.75,0.58,0.46,0.01
0.84,0.75,0.6,0.46,0.01
0.85,0.75,0.6,0.48,0.01
0.84,0.75,0.59,0.47,0
0.85,0.76,0.59,0.47,0
0.84,0.75,0.63,0.46,0
0.84,0.75,0.6,0.47,0
0.84,0.76,0.59,0.46,0
0.84,0.76,0.6,0.45,0.01
0.84,0.76,0.6,0.45,0
0.84,0.76,0.58,0.45,0
0.83,0.76,0.63,0.44,0
0.84,0.76,0.59,0.44,0.01
0.83,0.76,0.59,0.44,0
0.83,0.76,0.61,0.44,0
0.83,0.76,0.64,0.44,0
0.83,0.76,0.61,0.44,0
0.83,0.76,0.61,0.45,0
0.82,0.76,0.63,0.44,0
0.82,0.76,0.62,0.44,0
0.82,0.76,0.61,0.45,0.01
0.82,0.76,0.65,0.45,0
0.82,0.76,0.62,0.45,0
0.82,0.76,0.63,0.45,0
0.82,0.76,0.62,0.45,0
0.82,0.76,0.61,0.45,0
0.81,0.76,0.64,0.44,0
0.82,0.76,0.61,0.45,0.01
0.81,0.76,0.61,0.44,0
0.81,0.76,0.63,0.45,0
0.81,0.76,0.64,0.45,0
0.81,0.76,0.61,0.45,0
